id,label,category,section,weight
10111,"Horses, pure-bred",1,Agriculture,0.8203229904174805
10119,"Horses, not pure-bred",1,Agriculture,0.9165240526199341
10120,Other equine,1,Agriculture,0.07950684428215027
10210,"Bovine, pure-bred",1,Agriculture,0.9434423446655273
10290,"Bovine, not pure-bred",1,Agriculture,0.9435367584228516
10310,"Swine, pure-bred",1,Agriculture,0.9423011541366577
10391,"Swine < 50 kg, not pure-bred",1,Agriculture,0.2451213151216507
10392,"Swine > 50 kg, not pure-bred",1,Agriculture,0.9438103437423706
10410,Sheep,1,Agriculture,0.7748531103134155
10420,Goats,1,Agriculture,0.9432767629623413
10511,Domestic fowls < 185 g,1,Agriculture,0.895240306854248
10519,Other poultry < 185 g,1,Agriculture,0.9254436492919922
10591,Domestic fowls > 185 g,1,Agriculture,0.9424667358398438
10599,Other poultry > 185 g,1,Agriculture,0.943717360496521
10600,Non-farm animals,1,Agriculture,0.7579402327537537
20110,Bovine carcasses,1,Agriculture,0.7782431244850159
20120,Bone-in beef,1,Agriculture,0.8363007307052612
20130,Boneless beef,1,Agriculture,0.379837304353714
20210,"Bovine carcasses, frozen",1,Agriculture,0.4162555932998657
20220,"Bone-in beef, frozen",1,Agriculture,0.43746593594551086
20230,"Boneless beef, frozen",1,Agriculture,0.2794613242149353
20311,Swine carcasses,1,Agriculture,0.9425332546234131
20312,Ham and pork shoulder,1,Agriculture,0.7547290325164795
20319,Other pork,1,Agriculture,0.46057963371276855
20321,"Swine carcasses, frozen",1,Agriculture,0.6597149968147278
20322,"Ham and pork shoulder, frozen",1,Agriculture,0.9418188333511353
20329,"Other pork, frozen",1,Agriculture,0.9046612977981567
20410,Lamb carcasses,1,Agriculture,0.09198464453220367
20421,Sheep carcasses,1,Agriculture,0.20671549439430237
20422,"Mutton, bone-in",1,Agriculture,0.25116127729415894
20423,"Mutton, boneless",1,Agriculture,0.2261127382516861
20430,"Lamb carcasses, frozen",1,Agriculture,0.37513503432273865
20441,"Sheep carcasses, frozen",1,Agriculture,0.39729851484298706
20442,"Mutton, bone-in, frozen",1,Agriculture,0.14706951379776
20443,"Mutton, boneless, frozen",1,Agriculture,0.13712435960769653
20450,Goat meat,1,Agriculture,0.8695056438446045
20500,Horse meat,1,Agriculture,0.45893189311027527
20610,Bovine offal,1,Agriculture,0.2569652497768402
20621,"Bovine tongue, frozen",1,Agriculture,0.6402542591094971
20622,"Bovine livers, frozen",1,Agriculture,0.9019094705581665
20629,"Bovine offal, frozen",1,Agriculture,0.8267152309417725
20630,Swine offal,1,Agriculture,0.5233367085456848
20641,"Swine livers, frozen",1,Agriculture,0.45234134793281555
20649,"Swine offal, frozen",1,Agriculture,0.9401317834854126
20680,Sheep and equine offal,1,Agriculture,0.17398476600646973
20690,"Sheep & equine offal, frozen",1,Agriculture,0.4031745493412018
20710,Whole poultry,1,Agriculture,0.8786041736602783
20721,"Whole domestic fowls, frozen",1,Agriculture,0.9395120143890381
20722,"Whole turkey, frozen",1,Agriculture,0.9432741403579712
20723,"Whole duck, frozen",1,Agriculture,0.8888698816299438
20731,"Fatty livers of geese, ducks",1,Agriculture,0.7487444877624512
20739,Other poultry meat,1,Agriculture,0.3430846929550171
20741,"Domestic fowl meat, frozen",1,Agriculture,0.3242674469947815
20742,"Turkey meat, frozen",1,Agriculture,0.6577312350273132
20743,"Duck meat, frozen",1,Agriculture,0.8458068370819092
20750,"Poultry livers, frozen",1,Agriculture,0.07950684428215027
20810,Rabbit meat and offal,1,Agriculture,0.8862107992172241
20820,Frog legs,1,Agriculture,0.07950684428215027
20890,"Meat and offal, nes",1,Agriculture,0.6399883031845093
20900,Pig and poultry fat,1,Agriculture,0.7648175954818726
21011,Cured pork shoulders and ham,1,Agriculture,0.15080243349075317
21012,Cured swine bellies,1,Agriculture,0.5557074546813965
21019,Cured pork,1,Agriculture,0.12479405105113983
21020,Cured beef,1,Agriculture,0.160808727145195
21090,Cured meat and offal,1,Agriculture,0.6859610080718994
30110,Live ornamental fish,1,Agriculture,0.14879730343818665
30191,Live trout,1,Agriculture,0.8695049285888672
30192,Live eels,1,Agriculture,0.9438791275024414
30193,Live carp,1,Agriculture,0.2781793475151062
30199,Other live fish,1,Agriculture,0.9300551414489746
30211,Trout,1,Agriculture,0.10769705474376678
30212,Salmon,1,Agriculture,0.09313386678695679
30219,"Salmonids, nes",1,Agriculture,0.16212570667266846
30221,Halibut,1,Agriculture,0.12078540027141571
30222,Pollock,1,Agriculture,0.4522126317024231
30223,Sole,1,Agriculture,0.6417286396026611
30229,Flatfish,1,Agriculture,0.33743494749069214
30231,Albacore,1,Agriculture,0.7865307927131653
30232,Yellowfin tuna,1,Agriculture,0.7096965312957764
30233,Bonito,1,Agriculture,0.4696339964866638
30239,"Tuna, nes",1,Agriculture,0.5087810754776001
30240,Herring,1,Agriculture,0.8687022924423218
30250,Cod,1,Agriculture,0.11690375208854675
30261,Sardines,1,Agriculture,0.3796508312225342
30262,Haddock,1,Agriculture,0.10667756199836731
30263,Coalfish,1,Agriculture,0.19158941507339478
30264,Mackerel,1,Agriculture,0.3384450078010559
30265,Shark,1,Agriculture,0.9216030836105347
30266,Eels,1,Agriculture,0.8555684089660645
30269,"Whole fish, nes",1,Agriculture,0.5303434729576111
30270,Fish roes and livers,1,Agriculture,0.28795820474624634
30310,"Pacific salmon, frozen",1,Agriculture,0.22154787182807922
30321,"Trout, frozen",1,Agriculture,0.580788254737854
30322,"Atlantic salmon, frozen",1,Agriculture,0.31917887926101685
30329,"Salmonids, frozen, nes",1,Agriculture,0.5270920991897583
30331,"Halibut, frozen",1,Agriculture,0.10404905676841736
30332,"Plaice, frozen",1,Agriculture,0.389911413192749
30333,"Sole, frozen",1,Agriculture,0.20324388146400452
30339,"Flatfish, frozen",1,Agriculture,0.45625871419906616
30341,"Albacore, frozen",1,Agriculture,0.44700899720191956
30342,"Yellowfin tuna, frozen",1,Agriculture,0.9389365911483765
30343,"Bonito, frozen",1,Agriculture,0.9438471794128418
30349,"Tuna, frozen, nes",1,Agriculture,0.6634935140609741
30350,"Herring, frozen",1,Agriculture,0.8989487886428833
30360,"Cod, frozen",1,Agriculture,0.09480710327625275
30371,"Sardines, frozen",1,Agriculture,0.44321995973587036
30372,"Haddock, frozen",1,Agriculture,0.12148405611515045
30373,"Pollock, frozen",1,Agriculture,0.3934030532836914
30374,"Mackerel, frozen",1,Agriculture,0.16767951846122742
30375,"Sharks, frozen",1,Agriculture,0.11370061337947845
30376,"Eels, frozen",1,Agriculture,0.20634064078330994
30377,"Sea bass, frozen",1,Agriculture,0.9014241695404053
30378,"Hake, frozen",1,Agriculture,0.2658962309360504
30379,"Whole fish, frozen, nes",1,Agriculture,0.38720786571502686
30380,"Fish roes & livers, frozen",1,Agriculture,0.14062033593654633
30410,"Fish meat, not liver or roe",1,Agriculture,0.2692415714263916
30420,"Fish fillets, frozen",1,Agriculture,0.17822661995887756
30490,"Other fish meat, frozen",1,Agriculture,0.16133330762386322
30510,"Fish flours, meals, and pellets",1,Agriculture,0.894927978515625
30520,Dried/smoked/salted livers and roes,1,Agriculture,0.3361548185348511
