id,label,category,section,weight
10111,"Horses, pure-bred",1,Agriculture,4.318902938393876e-05
10119,"Horses, not pure-bred",1,Agriculture,1.744305518514011e-05
10120,Other equine,1,Agriculture,0.0
10210,"Bovine, pure-bred",1,Agriculture,4.860136323259212e-05
10290,"Bovine, not pure-bred",1,Agriculture,0.00042193609988316894
10310,"Swine, pure-bred",1,Agriculture,3.3066617106669582e-06
10391,"Swine < 50 kg, not pure-bred",1,Agriculture,4.407201004141825e-07
10392,"Swine > 50 kg, not pure-bred",1,Agriculture,3.40486440109089e-05
10410,Sheep,1,Agriculture,9.471399607718922e-06
10420,Goats,1,Agriculture,6.00164241859602e-07
10511,Domestic fowls < 185 g,1,Agriculture,2.5741941499290988e-05
10519,Other poultry < 185 g,1,Agriculture,1.3324312021723017e-05
10591,Domestic fowls > 185 g,1,Agriculture,3.284237391198985e-05
10599,Other poultry > 185 g,1,Agriculture,7.149606517486973e-06
10600,Non-farm animals,1,Agriculture,2.2584454200114124e-05
20110,Bovine carcasses,1,Agriculture,6.615022721234709e-05
20120,Bone-in beef,1,Agriculture,0.00015528964286204427
20130,Boneless beef,1,Agriculture,6.474310794146731e-05
20210,"Bovine carcasses, frozen",1,Agriculture,7.421419354614045e-07
20220,"Bone-in beef, frozen",1,Agriculture,1.3156410432202392e-06
20230,"Boneless beef, frozen",1,Agriculture,1.7675620256341062e-05
20311,Swine carcasses,1,Agriculture,5.0308339268667623e-05
20312,Ham and pork shoulder,1,Agriculture,4.565156632452272e-05
20319,Other pork,1,Agriculture,8.694627467775717e-05
20321,"Swine carcasses, frozen",1,Agriculture,1.3137864698364865e-06
20322,"Ham and pork shoulder, frozen",1,Agriculture,1.4430346709559672e-05
20329,"Other pork, frozen",1,Agriculture,0.00012904449249617755
20410,Lamb carcasses,1,Agriculture,2.1600912987196352e-06
20421,Sheep carcasses,1,Agriculture,4.473114131542388e-06
20422,"Mutton, bone-in",1,Agriculture,5.991836133034667e-06
20423,"Mutton, boneless",1,Agriculture,1.1465518809927744e-06
20430,"Lamb carcasses, frozen",1,Agriculture,5.34850983058277e-07
20441,"Sheep carcasses, frozen",1,Agriculture,1.6006900693810167e-07
20442,"Mutton, bone-in, frozen",1,Agriculture,1.5032843521112227e-06
20443,"Mutton, boneless, frozen",1,Agriculture,1.0684116205084138e-06
