id,label,category,section,weight
10111,"Horses, pure-bred",1,Agriculture,2.120118915627245e-05
10119,"Horses, not pure-bred",1,Agriculture,2.0093682906008326e-05
10120,Other equine,1,Agriculture,0.0
10210,"Bovine, pure-bred",1,Agriculture,2.7656720703816973e-05
10290,"Bovine, not pure-bred",1,Agriculture,0.0004688721674028784
10310,"Swine, pure-bred",1,Agriculture,4.580896074912744e-06
10391,"Swine < 50 kg, not pure-bred",1,Agriculture,1.1527935157573665e-06
10392,"Swine > 50 kg, not pure-bred",1,Agriculture,4.0494658605894074e-05
10410,Sheep,1,Agriculture,1.58147158799693e-05
10420,Goats,1,Agriculture,1.1033517921532621e-07
10511,Domestic fowls < 185 g,1,Agriculture,1.89384154509753e-05
10519,Other poultry < 185 g,1,Agriculture,1.570126914884895e-05
10591,Domestic fowls > 185 g,1,Agriculture,1.8603324861032888e-05
10599,Other poultry > 185 g,1,Agriculture,5.408638116932707e-06
10600,Non-farm animals,1,Agriculture,2.023932756856084e-05
20110,Bovine carcasses,1,Agriculture,0.00010206919250776991
20120,Bone-in beef,1,Agriculture,0.00020826600666623563
20130,Boneless beef,1,Agriculture,5.564873572438955e-05
20210,"Bovine carcasses, frozen",1,Agriculture,2.2475480818684446e-06
20220,"Bone-in beef, frozen",1,Agriculture,1.420726675860351e-06
20230,"Boneless beef, frozen",1,Agriculture,2.5292381906183437e-05
20311,Swine carcasses,1,Agriculture,7.273048686329275e-05
20312,Ham and pork shoulder,1,Agriculture,5.651782703353092e-05
20319,Other pork,1,Agriculture,7.041446951916441e-05
20321,"Swine carcasses, frozen",1,Agriculture,1.2014797903248109e-06
20322,"Ham and pork shoulder, frozen",1,Agriculture,5.338904884411022e-06
20329,"Other pork, frozen",1,Agriculture,0.00011061726399930194
20410,Lamb carcasses,1,Agriculture,1.6698631952749565e-06
20421,Sheep carcasses,1,Agriculture,3.2624595860397676e-06
20422,"Mutton, bone-in",1,Agriculture,4.810927293874556e-06
20423,"Mutton, boneless",1,Agriculture,2.6768545922095655e-06
20430,"Lamb carcasses, frozen",1,Agriculture,3.1583428494741383e-07
20441,"Sheep carcasses, frozen",1,Agriculture,1.72660804764746e-07
20442,"Mutton, bone-in, frozen",1,Agriculture,2.0530637812044006e-06
20443,"Mutton, boneless, frozen",1,Agriculture,1.973714233827195e-06
20450,Goat meat,1,Agriculture,7.898481271695346e-06
20500,Horse meat,1,Agriculture,9.878605851554312e-06
20610,Bovine offal,1,Agriculture,4.609996722138021e-06
20621,"Bovine tongue, frozen",1,Agriculture,2.488406778411445e-07
20622,"Bovine livers, frozen",1,Agriculture,1.2763862287101801e-06
20629,"Bovine offal, frozen",1,Agriculture,5.821441391162807e-06
20630,Swine offal,1,Agriculture,5.3509829740505666e-06
20641,"Swine livers, frozen",1,Agriculture,4.5828988959328854e-07
20649,"Swine offal, frozen",1,Agriculture,3.2043495593825355e-05
20680,Sheep and equine offal,1,Agriculture,4.831098294744152e-07
20690,"Sheep & equine offal, frozen",1,Agriculture,3.833094410765625e-07
20710,Whole poultry,1,Agriculture,3.696077692438848e-05
20721,"Whole domestic fowls, frozen",1,Agriculture,9.204985690303147e-05
20722,"Whole turkey, frozen",1,Agriculture,8.65521542436909e-06
20723,"Whole duck, frozen",1,Agriculture,7.733066922810394e-06
20731,"Fatty livers of geese, ducks",1,Agriculture,1.0232879503746517e-05
20739,Other poultry meat,1,Agriculture,0.00010132038005394861
20741,"Domestic fowl meat, frozen",1,Agriculture,3.0046636311453767e-05
20742,"Turkey meat, frozen",1,Agriculture,1.784834785212297e-05
20743,"Duck meat, frozen",1,Agriculture,4.5886466978117824e-05
20750,"Poultry livers, frozen",1,Agriculture,0.0
20810,Rabbit meat and offal,1,Agriculture,9.163669346889947e-06
20820,Frog legs,1,Agriculture,0.0
20890,"Meat and offal, nes",1,Agriculture,1.3115809451846872e-05
20900,Pig and poultry fat,1,Agriculture,1.160118517873343e-05
21011,Cured pork shoulders and ham,1,Agriculture,3.488823267616681e-06
21012,Cured swine bellies,1,Agriculture,1.3255214980745222e-05
21019,Cured pork,1,Agriculture,6.919971838215133e-06
21020,Cured beef,1,Agriculture,1.4900724636390805e-06
21090,Cured meat and offal,1,Agriculture,8.901479304768145e-06
30110,Live ornamental fish,1,Agriculture,2.117884378094459e-06
30191,Live trout,1,Agriculture,4.9834629862743896e-06
30192,Live eels,1,Agriculture,8.906230505090207e-06
30193,Live carp,1,Agriculture,1.611838911230734e-07
30199,Other live fish,1,Agriculture,9.26943448575912e-06
30211,Trout,1,Agriculture,1.0837934496521484e-06
30212,Salmon,1,Agriculture,8.690594768268056e-06
30219,"Salmonids, nes",1,Agriculture,2.0694296836154535e-06
30221,Halibut,1,Agriculture,2.7672433589032153e-07
30222,Pollock,1,Agriculture,3.3035644264600705e-07
30223,Sole,1,Agriculture,1.3229913747636601e-05
30229,Flatfish,1,Agriculture,7.940234354464337e-06
30231,Albacore,1,Agriculture,6.724304171257245e-07
30232,Yellowfin tuna,1,Agriculture,2.611800482554827e-06
30233,Bonito,1,Agriculture,6.793908369218116e-08
30239,"Tuna, nes",1,Agriculture,1.6934843642957276e-06
30240,Herring,1,Agriculture,6.428900434229945e-08
30250,Cod,1,Agriculture,1.3147056279194658e-06
30261,Sardines,1,Agriculture,8.198985028684547e-07
30262,Haddock,1,Agriculture,1.2635220514312095e-07
30263,Coalfish,1,Agriculture,6.817782036705466e-07
30264,Mackerel,1,Agriculture,2.6205702852166723e-06
30265,Shark,1,Agriculture,2.8520191790448735e-06
30266,Eels,1,Agriculture,1.479541964499731e-07
30269,"Whole fish, nes",1,Agriculture,6.039295476512052e-05
30270,Fish roes and livers,1,Agriculture,3.449797816301725e-07
30310,"Pacific salmon, frozen",1,Agriculture,1.3711953670281218e-06
30321,"Trout, frozen",1,Agriculture,3.5997132386000885e-07
30322,"Atlantic salmon, frozen",1,Agriculture,9.551454240863677e-07
30329,"Salmonids, frozen, nes",1,Agriculture,2.9173588700359687e-07
30331,"Halibut, frozen",1,Agriculture,4.109667273155537e-08
30332,"Plaice, frozen",1,Agriculture,1.9557404584702454e-08
30333,"Sole, frozen",1,Agriculture,1.323014231502384e-07
30339,"Flatfish, frozen",1,Agriculture,9.343752793711246e-08
30341,"Albacore, frozen",1,Agriculture,1.0922478850261541e-06
30342,"Yellowfin tuna, frozen",1,Agriculture,2.161083284590859e-05
30343,"Bonito, frozen",1,Agriculture,1.0116000339621678e-05
30349,"Tuna, frozen, nes",1,Agriculture,2.0539296201604884e-06
30350,"Herring, frozen",1,Agriculture,9.440976782570942e-07
30360,"Cod, frozen",1,Agriculture,6.862410373287275e-07
30371,"Sardines, frozen",1,Agriculture,1.0491993407413247e-06
30372,"Haddock, frozen",1,Agriculture,4.450432200542309e-08
30373,"Pollock, frozen",1,Agriculture,1.2818618699839135e-07
30374,"Mackerel, frozen",1,Agriculture,2.8109266168030445e-06
30375,"Sharks, frozen",1,Agriculture,5.662065305500619e-08
30376,"Eels, frozen",1,Agriculture,4.914775786346581e-08
30377,"Sea bass, frozen",1,Agriculture,3.235048779970384e-06
30378,"Hake, frozen",1,Agriculture,1.6535639701942273e-07
30379,"Whole fish, frozen, nes",1,Agriculture,2.161501470254734e-05
30380,"Fish roes & livers, frozen",1,Agriculture,4.095793997294095e-07
30410,"Fish meat, not liver or roe",1,Agriculture,2.976190808112733e-05
30420,"Fish fillets, frozen",1,Agriculture,1.2102860637241974e-05
30490,"Other fish meat, frozen",1,Agriculture,2.668242359504802e-06
30510,"Fish flours, meals, and pellets",1,Agriculture,1.061842681338021e-06
30520,Dried/smoked/salted livers and roes,1,Agriculture,2.995581667164515e-07
30530,Dried/salted fish fillets,1,Agriculture,1.8887932355937664e-06
30541,Smoked salmon,1,Agriculture,2.0239793229848146e-05
30542,Smoked herrings,1,Agriculture,5.203376076678978e-07
30549,Other smoked fish,1,Agriculture,7.12136738911795e-07
30551,Dried cod,1,Agriculture,2.8330751433713885e-07
30559,"Dried fish, not cod",1,Agriculture,7.886990260885796e-07
30561,Salted herrings,1,Agriculture,8.63473772483303e-08
30562,Salted cod,1,Agriculture,1.640948568137901e-07
30563,Salted anchovies,1,Agriculture,7.271101054584506e-08
30569,"Salted fish, nes",1,Agriculture,9.541363255038959e-08
30611,"Crawfish, frozen",1,Agriculture,4.492796051636105e-06
30612,"Lobsters, frozen",1,Agriculture,1.3824264897266403e-06
30613,"Shrimps, frozen",1,Agriculture,2.4033373847487383e-05
30614,"Crabs, frozen",1,Agriculture,2.9352816000027815e-06
30619,"Crustaceans, frozen, nes",1,Agriculture,7.751654038656852e-07
30621,Crawfish,1,Agriculture,1.0128746907867026e-06
30622,Lobsters,1,Agriculture,3.6148212529951707e-06
30623,Shrimps,1,Agriculture,6.328085419227136e-06
30624,Crabs,1,Agriculture,3.6631074635806726e-06
30629,"Crustaceans, nes",1,Agriculture,1.7288093658862635e-06
30710,Oysters,1,Agriculture,1.6545749531360343e-05
30721,Live scallops,1,Agriculture,4.140619239478838e-06
30729,"Scallops, not live",1,Agriculture,5.836120180902071e-06
30731,Mussels,1,Agriculture,3.7499094105442055e-06
30739,Mussels (frozen/salted/dried),1,Agriculture,1.8329346573864314e-07
30741,Squid,1,Agriculture,1.926423647091724e-05
30749,Squid (frozen/salted/dried),1,Agriculture,9.834839147515595e-06
30751,Octopus,1,Agriculture,1.2271002560737543e-06
30759,Octopus (frozen/salted/dried),1,Agriculture,6.385302526723535e-07
30760,Snails,1,Agriculture,1.5735419083284796e-06
30791,"Aquatic invertebrates, nes",1,Agriculture,4.327390342950821e-06
30799,"Aquatic invertebrates, nes (frozen/preserved)",1,Agriculture,5.553090886678547e-06
40110,"Milk, <1% fat",1,Agriculture,2.301542554050684e-05
40120,"Milk, 1-6% fat",1,Agriculture,0.00011203424219274893
40130,"Milk and cream, >6% fat",1,Agriculture,8.224077464547008e-05
40210,"Milk powder, <1.5% fat",1,Agriculture,0.00015799736138433218
40221,"Unsweetened milk powder, >1.5% fat",1,Agriculture,8.555546082789078e-05
40229,"Sweetened milk powder, >1.5% fat",1,Agriculture,1.3866637345927302e-05
40291,Concentrated unsweetened milk,1,Agriculture,3.52284696418792e-05
40299,Other milk and cream,1,Agriculture,2.3536101707577473e-06
40310,Yogurt,1,Agriculture,0.00010961847874568775
40390,"Buttermilk, cream",1,Agriculture,9.976610454032198e-05
40410,Whey,1,Agriculture,0.00011441061360528693
40490,Natural milk products,1,Agriculture,2.6568530302029103e-05
40500,"Butter, milk fats & oils",1,Agriculture,0.0001148552619270049
40610,"Fresh cheese, curd",1,Agriculture,0.00016413163393735886
40620,"Cheese, grated or powdered",1,Agriculture,4.02796795242466e-05
40630,Cheese processed,1,Agriculture,0.0001070494981831871
40640,"Cheese, blue-veined",1,Agriculture,3.310137617518194e-05
40690,Cheese not fresh or processed,1,Agriculture,0.0006975560681894422
40700,"Eggs, in shell",1,Agriculture,5.7436558563495055e-05
40811,"Egg yolks, dried",1,Agriculture,4.520671609498095e-06
40819,"Egg yolks, not dried",1,Agriculture,6.907368970132666e-06
40891,"Eggs, dried",1,Agriculture,6.644855147897033e-06
40899,"Eggs, not in shell not dried",1,Agriculture,6.178916009957902e-06
40900,Honey,1,Agriculture,7.255136551975738e-06
